Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,NIV_EDUCA_esta,Poblacio
1998,01,05,23,1,1203
1998,01,05,23,2,2564
1998,01,05,23,3,2403
1998,01,05,23,4,4738
1998,01,05,23,5,6424
1998,01,05,23,6,629
1998,01,05,24,1,394
1998,01,05,24,2,1234
1998,01,05,24,3,1204
1998,01,05,24,4,3394
1998,01,05,24,5,4792
1998,01,05,24,6,372
1998,01,05,25,1,1009
1998,01,05,25,2,2323
1998,01,05,25,3,2263
1998,01,05,25,4,5644
1998,01,05,25,5,7159
1998,01,05,25,6,645
1998,01,05,26,1,1889
1998,01,05,26,2,4766
1998,01,05,26,3,4437
1998,01,05,26,4,11449
1998,01,05,26,5,14507
1998,01,05,26,6,1210
1998,01,05,27,1,1236
1998,01,05,27,2,3107
1998,01,05,27,3,3281
1998,01,05,27,4,6589
1998,01,05,27,5,8015
1998,01,05,27,6,809
1998,01,06,28,1,1229
1998,01,06,28,2,2627
1998,01,06,28,3,2102
1998,01,06,28,4,3162
1998,01,06,28,5,2989
1998,01,06,28,6,397
1998,01,06,29,1,844
1998,01,06,29,2,1439
1998,01,06,29,3,1166
1998,01,06,29,4,1249
1998,01,06,29,5,844
1998,01,06,29,6,174
1998,01,06,30,1,847
1998,01,06,30,2,2111
1998,01,06,30,3,1921
1998,01,06,30,4,3080
1998,01,06,30,5,2865
1998,01,06,30,6,389
1998,01,06,31,1,5425
1998,01,06,31,2,10997
1998,01,06,31,3,7139
1998,01,06,31,4,9335
1998,01,06,31,5,8044
1998,01,06,31,6,1188
1998,01,06,32,1,2945
1998,01,06,32,2,6386
1998,01,06,32,3,5348
1998,01,06,32,4,7453
1998,01,06,32,5,6594
1998,01,06,32,6,958
1998,01,07,33,1,2908
1998,01,07,33,2,5371
1998,01,07,33,3,4052
1998,01,07,33,4,5177
1998,01,07,33,5,3795
1998,01,07,33,6,653
1998,01,07,34,1,1348
1998,01,07,34,2,2253
1998,01,07,34,3,1561
1998,01,07,34,4,1495
1998,01,07,34,5,926
1998,01,07,34,6,258
1998,01,07,35,1,4062
1998,01,07,35,2,7943
1998,01,07,35,3,5523
1998,01,07,35,4,7065
1998,01,07,35,5,4910
1998,01,07,35,6,920
1998,01,07,36,1,820
1998,01,07,36,2,2029
1998,01,07,36,3,1720
1998,01,07,36,4,2062
1998,01,07,36,5,1468
1998,01,07,36,6,329
1998,01,07,37,1,7353
1998,01,07,37,2,8959
1998,01,07,37,3,6468
1998,01,07,37,4,4174
1998,01,07,37,5,1331
1998,01,07,37,6,1164
1998,01,07,38,1,2255
1998,01,07,38,2,3050
1998,01,07,38,3,2090
1998,01,07,38,4,1556
1998,01,07,38,5,558
1998,01,07,38,6,329
1998,01,07,39,1,1212
1998,01,07,39,2,1821
1998,01,07,39,3,1184
1998,01,07,39,4,1157
1998,01,07,39,5,700
1998,01,07,39,6,193
1998,01,07,40,1,1019
1998,01,07,40,2,1452
1998,01,07,40,3,837
1998,01,07,40,4,876
1998,01,07,40,5,585
1998,01,07,40,6,68
1998,01,07,41,1,424
1998,01,07,41,2,1066
1998,01,07,41,3,924
1998,01,07,41,4,1160
1998,01,07,41,5,884
1998,01,07,41,6,140
1998,01,07,42,1,54
1998,01,07,42,2,68
1998,01,07,42,3,55
1998,01,07,42,4,0
1998,01,07,42,5,28
1998,01,07,42,6,0
1998,01,07,43,1,4333
1998,01,07,43,2,6605
1998,01,07,43,3,4341
1998,01,07,43,4,4657
1998,01,07,43,5,2610
1998,01,07,43,6,783
1998,01,08,44,1,3532
1998,01,08,44,2,6133
1998,01,08,44,3,4193
1998,01,08,44,4,4642
1998,01,08,44,5,2604
1998,01,08,44,6,699
1998,01,08,45,1,4328
1998,01,08,45,2,6419
1998,01,08,45,3,4393
1998,01,08,45,4,3909
1998,01,08,45,5,1715
1998,01,08,45,6,606
1998,01,08,46,1,3102
1998,01,08,46,2,4450
1998,01,08,46,3,2314
1998,01,08,46,4,2157
1998,01,08,46,5,965
1998,01,08,46,6,259
1998,01,08,47,1,407
1998,01,08,47,2,732
1998,01,08,47,3,450
1998,01,08,47,4,196
1998,01,08,47,5,22
1998,01,08,47,6,68
1998,01,08,48,1,2472
1998,01,08,48,2,4557
1998,01,08,48,3,3146
1998,01,08,48,4,2933
1998,01,08,48,5,1501
1998,01,08,48,6,508
1998,01,08,49,1,1289
1998,01,08,49,2,2436
1998,01,08,49,3,1788
1998,01,08,49,4,1037
1998,01,08,49,5,421
1998,01,08,49,6,401
1998,01,08,50,1,3861
1998,01,08,50,2,4212
1998,01,08,50,3,2864
1998,01,08,50,4,1504
1998,01,08,50,5,366
1998,01,08,50,6,531
1998,01,08,51,1,3042
1998,01,08,51,2,3652
1998,01,08,51,3,2306
1998,01,08,51,4,1384
1998,01,08,51,5,456
1998,01,08,51,6,347
1998,01,08,52,1,6136
1998,01,08,52,2,7170
1998,01,08,52,3,5357
1998,01,08,52,4,3706
1998,01,08,52,5,1239
1998,01,08,52,6,885
1998,01,08,53,1,2178
1998,01,08,53,2,2402
1998,01,08,53,3,1336
1998,01,08,53,4,558
1998,01,08,53,5,139
1998,01,08,53,6,194
1998,01,08,54,1,578
1998,01,08,54,2,707
1998,01,08,54,3,299
1998,01,08,54,4,83
1998,01,08,54,5,5
1998,01,08,54,6,100
1998,01,08,55,1,2020
1998,01,08,55,2,2865
1998,01,08,55,3,1860
1998,01,08,55,4,1106
1998,01,08,55,5,245
1998,01,08,55,6,270
1998,01,08,56,1,147
1998,01,08,56,2,232
1998,01,08,56,3,89
1998,01,08,56,4,22
1998,01,08,56,5,0
1998,01,08,56,6,36
1998,01,09,57,1,1694
1998,01,09,57,2,2305
1998,01,09,57,3,1505
1998,01,09,57,4,715
1998,01,09,57,5,197
1998,01,09,57,6,267
1998,01,09,58,1,512
1998,01,09,58,2,830
1998,01,09,58,3,297
1998,01,09,58,4,126
1998,01,09,58,5,0
1998,01,09,58,6,88
1998,01,09,59,1,2021
1998,01,09,59,2,3176
1998,01,09,59,3,1986
1998,01,09,59,4,972
1998,01,09,59,5,246
1998,01,09,59,6,295
1998,01,09,60,1,5883
1998,01,09,60,2,12782
1998,01,09,60,3,9400
1998,01,09,60,4,9729
1998,01,09,60,5,5001
1998,01,09,60,6,1755
1998,01,09,61,1,2877
1998,01,09,61,2,6853
1998,01,09,61,3,5259
1998,01,09,61,4,5329
1998,01,09,61,5,2812
1998,01,09,61,6,974
1998,01,09,62,1,1945
1998,01,09,62,2,3499
1998,01,09,62,3,2322
1998,01,09,62,4,2632
1998,01,09,62,5,1590
1998,01,09,62,6,272
1998,01,09,63,1,2138
1998,01,09,63,2,4817
1998,01,09,63,3,3795
1998,01,09,63,4,4428
1998,01,09,63,5,2710
1998,01,09,63,6,529
1998,01,10,64,1,4283
1998,01,10,64,2,8770
1998,01,10,64,3,6531
1998,01,10,64,4,7306
1998,01,10,64,5,4558
1998,01,10,64,6,1017
1998,01,10,65,1,2400
1998,01,10,65,2,5328
1998,01,10,65,3,4354
1998,01,10,65,4,4323
1998,01,10,65,5,2461
1998,01,10,65,6,742
1998,01,10,66,1,1354
1998,01,10,66,2,2820
1998,01,10,66,3,2220
1998,01,10,66,4,2314
1998,01,10,66,5,1531
1998,01,10,66,6,357
1998,01,10,67,1,232
1998,01,10,67,2,619
1998,01,10,67,3,669
1998,01,10,67,4,1227
1998,01,10,67,5,2093
1998,01,10,67,6,157
1998,01,10,68,1,3748
1998,01,10,68,2,6806
1998,01,10,68,3,4205
1998,01,10,68,4,3836
1998,01,10,68,5,1734
1998,01,10,68,6,625
1998,01,10,69,1,855
1998,01,10,69,2,1160
1998,01,10,69,3,762
1998,01,10,69,4,604
1998,01,10,69,5,201
1998,01,10,69,6,90
1998,01,10,70,1,4711
1998,01,10,70,2,5655
1998,01,10,70,3,4193
1998,01,10,70,4,2339
1998,01,10,70,5,699
1998,01,10,70,6,673
1998,01,10,71,1,2251
1998,01,10,71,2,4339
1998,01,10,71,3,3233
1998,01,10,71,4,2830
1998,01,10,71,5,1099
1998,01,10,71,6,531
1998,01,10,72,1,3883
1998,01,10,72,2,7468
1998,01,10,72,3,5321
1998,01,10,72,4,4895
1998,01,10,72,5,2178
1998,01,10,72,6,683
1998,01,10,73,1,5548
1998,01,10,73,2,8365
1998,01,10,73,3,6351
1998,01,10,73,4,4800
1998,01,10,73,5,1793
1998,01,10,73,6,996
1999,01,01,01,1,7427
1999,01,01,01,2,11370
1999,01,01,01,3,4584
1999,01,01,01,4,4302
1999,01,01,01,5,2444
1999,01,01,01,6,1128
1999,01,01,02,1,2244
1999,01,01,02,2,4020
1999,01,01,02,3,1924
1999,01,01,02,4,2436
1999,01,01,02,5,1983
1999,01,01,02,6,338
1999,01,01,03,1,3400
1999,01,01,03,2,4654
1999,01,01,03,3,2486
1999,01,01,03,4,1657
1999,01,01,03,5,559
1999,01,01,03,6,400
1999,01,01,04,1,3399
1999,01,01,04,2,5503
1999,01,01,04,3,2785
1999,01,01,04,4,3161
1999,01,01,04,5,2195
1999,01,01,04,6,648
1999,01,02,05,1,2311
1999,01,02,05,2,5452
1999,01,02,05,3,4352
1999,01,02,05,4,6239
1999,01,02,05,5,5530
1999,01,02,05,6,999
1999,01,02,06,1,4919
1999,01,02,06,2,10616
1999,01,02,06,3,7940
1999,01,02,06,4,9958
1999,01,02,06,5,8151
1999,01,02,06,6,1551
1999,01,02,07,1,2311
1999,01,02,07,2,6041
1999,01,02,07,3,4960
1999,01,02,07,4,8998
1999,01,02,07,5,11315
1999,01,02,07,6,1214
1999,01,02,08,1,2961
1999,01,02,08,2,6710
1999,01,02,08,3,5173
1999,01,02,08,4,9114
1999,01,02,08,5,9808
1999,01,02,08,6,1199
1999,01,02,09,1,4457
1999,01,02,09,2,10034
1999,01,02,09,3,7974
1999,01,02,09,4,12279
1999,01,02,09,5,11639
1999,01,02,09,6,1991
1999,01,02,10,1,3854
1999,01,02,10,2,8119
1999,01,02,10,3,5891
1999,01,02,10,4,7621
1999,01,02,10,5,5824
1999,01,02,10,6,1133
1999,01,03,11,1,5679
1999,01,03,11,2,9776
1999,01,03,11,3,5769
1999,01,03,11,4,5316
1999,01,03,11,5,2661
1999,01,03,11,6,1056
1999,01,03,12,1,482
1999,01,03,12,2,503
1999,01,03,12,3,216
1999,01,03,12,4,53
1999,01,03,12,5,0
1999,01,03,12,6,82
1999,01,03,13,1,3725
1999,01,03,13,2,7525
1999,01,03,13,3,4891
1999,01,03,13,4,4247
1999,01,03,13,5,1537
1999,01,03,13,6,1072
1999,01,03,14,1,1014
1999,01,03,14,2,2040
1999,01,03,14,3,1637
1999,01,03,14,4,1831
1999,01,03,14,5,1239
1999,01,03,14,6,329
1999,01,03,15,1,2202
1999,01,03,15,2,3446
1999,01,03,15,3,2379
1999,01,03,15,4,2555
1999,01,03,15,5,1627
1999,01,03,15,6,526
1999,01,03,16,1,2060
1999,01,03,16,2,4442
1999,01,03,16,3,3069
1999,01,03,16,4,3183
1999,01,03,16,5,1553
1999,01,03,16,6,724
1999,01,03,17,1,3363
1999,01,03,17,2,5865
1999,01,03,17,3,3999
1999,01,03,17,4,4054
1999,01,03,17,5,2402
1999,01,03,17,6,925
1999,01,03,18,1,5043
1999,01,03,18,2,8858
1999,01,03,18,3,6274
1999,01,03,18,4,7146
1999,01,03,18,5,5080
1999,01,03,18,6,1238
1999,01,04,19,1,3212
1999,01,04,19,2,7522
1999,01,04,19,3,6349
1999,01,04,19,4,10475
1999,01,04,19,5,10832
1999,01,04,19,6,1837
1999,01,04,20,1,2003
1999,01,04,20,2,4633
1999,01,04,20,3,3249
1999,01,04,20,4,5280
1999,01,04,20,5,4898
1999,01,04,20,6,1027
1999,01,04,21,1,331
1999,01,04,21,2,1068
1999,01,04,21,3,1109
1999,01,04,21,4,2791
1999,01,04,21,5,3810
1999,01,04,21,6,430
1999,01,05,22,1,208
1999,01,05,22,2,461
1999,01,05,22,3,354
1999,01,05,22,4,604
1999,01,05,22,5,676
1999,01,05,22,6,101
1999,01,05,23,1,1133
