Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1997,01,07,34,4,0,8761
1997,01,07,34,5,49,8761
1997,01,07,34,6,0,8761
1997,01,07,34,7,0,8761
1997,01,07,35,1,61,34207
1997,01,07,35,2,327,34207
1997,01,07,35,3,5,34207
1997,01,07,35,4,6,34207
1997,01,07,35,5,276,34207
1997,01,07,35,6,0,34207
1997,01,07,35,7,0,34207
1997,01,07,36,1,5,9716
1997,01,07,36,2,43,9716
1997,01,07,36,3,0,9716
1997,01,07,36,4,0,9716
1997,01,07,36,5,62,9716
1997,01,07,36,6,0,9716
1997,01,07,36,7,0,9716
1997,01,07,37,1,28,33508
1997,01,07,37,2,127,33508
1997,01,07,37,3,0,33508
1997,01,07,37,4,0,33508
1997,01,07,37,5,144,33508
1997,01,07,37,6,0,33508
1997,01,07,37,7,0,33508
1997,01,07,38,1,0,11205
1997,01,07,38,2,108,11205
1997,01,07,38,3,0,11205
1997,01,07,38,4,0,11205
1997,01,07,38,5,27,11205
1997,01,07,38,6,0,11205
1997,01,07,38,7,0,11205
1997,01,07,39,1,0,7146
1997,01,07,39,2,101,7146
1997,01,07,39,3,0,7146
1997,01,07,39,4,5,7146
1997,01,07,39,5,61,7146
1997,01,07,39,6,0,7146
1997,01,07,39,7,0,7146
1997,01,07,40,1,5,5224
1997,01,07,40,2,18,5224
1997,01,07,40,3,0,5224
1997,01,07,40,4,0,5224
1997,01,07,40,5,22,5224
1997,01,07,40,6,0,5224
1997,01,07,40,7,0,5224
1997,01,07,41,1,0,5402
1997,01,07,41,2,101,5402
1997,01,07,41,3,0,5402
1997,01,07,41,4,0,5402
1997,01,07,41,5,50,5402
1997,01,07,41,6,0,5402
1997,01,07,41,7,0,5402
1997,01,07,42,1,0,440
1997,01,07,42,2,0,440
1997,01,07,42,3,0,440
1997,01,07,42,4,0,440
1997,01,07,42,5,1,440
1997,01,07,42,6,0,440
1997,01,07,42,7,0,440
1997,01,07,43,1,0,26215
1997,01,07,43,2,80,26215
1997,01,07,43,3,0,26215
1997,01,07,43,4,0,26215
1997,01,07,43,5,121,26215
1997,01,07,43,6,0,26215
1997,01,07,43,7,0,26215
1997,01,08,44,1,21,24585
1997,01,08,44,2,167,24585
1997,01,08,44,3,0,24585
1997,01,08,44,4,0,24585
1997,01,08,44,5,118,24585
1997,01,08,44,6,0,24585
1997,01,08,44,7,0,24585
1997,01,08,45,1,24,23879
1997,01,08,45,2,125,23879
1997,01,08,45,3,0,23879
1997,01,08,45,4,5,23879
1997,01,08,45,5,109,23879
1997,01,08,45,6,0,23879
1997,01,08,45,7,0,23879
1997,01,08,46,1,0,14730
1997,01,08,46,2,130,14730
1997,01,08,46,3,0,14730
1997,01,08,46,4,0,14730
1997,01,08,46,5,74,14730
1997,01,08,46,6,0,14730
1997,01,08,46,7,0,14730
1997,01,08,47,1,0,2249
1997,01,08,47,2,11,2249
1997,01,08,47,3,0,2249
1997,01,08,47,4,0,2249
1997,01,08,47,5,14,2249
1997,01,08,47,6,0,2249
1997,01,08,47,7,0,2249
1997,01,08,48,1,31,16981
1997,01,08,48,2,68,16981
1997,01,08,48,3,0,16981
1997,01,08,48,4,0,16981
1997,01,08,48,5,70,16981
1997,01,08,48,6,0,16981
1997,01,08,48,7,0,16981
1997,01,08,49,1,21,8686
1997,01,08,49,2,0,8686
1997,01,08,49,3,0,8686
1997,01,08,49,4,0,8686
1997,01,08,49,5,41,8686
1997,01,08,49,6,0,8686
1997,01,08,49,7,0,8686
1997,01,08,50,1,5,15485
1997,01,08,50,2,67,15485
1997,01,08,50,3,0,15485
1997,01,08,50,4,0,15485
1997,01,08,50,5,65,15485
1997,01,08,50,6,0,15485
1997,01,08,50,7,0,15485
1997,01,08,51,1,8,12798
1997,01,08,51,2,83,12798
1997,01,08,51,3,0,12798
1997,01,08,51,4,0,12798
1997,01,08,51,5,77,12798
1997,01,08,51,6,0,12798
1997,01,08,51,7,0,12798
1997,01,08,52,1,6,27625
1997,01,08,52,2,59,27625
1997,01,08,52,3,0,27625
1997,01,08,52,4,0,27625
1997,01,08,52,5,133,27625
1997,01,08,52,6,0,27625
1997,01,08,52,7,0,27625
1997,01,08,53,1,29,7534
1997,01,08,53,2,11,7534
1997,01,08,53,3,0,7534
1997,01,08,53,4,0,7534
1997,01,08,53,5,44,7534
1997,01,08,53,6,0,7534
1997,01,08,53,7,0,7534
1997,01,08,54,1,0,2353
1997,01,08,54,2,11,2353
1997,01,08,54,3,0,2353
1997,01,08,54,4,0,2353
1997,01,08,54,5,19,2353
1997,01,08,54,6,0,2353
1997,01,08,54,7,0,2353
1997,01,08,55,1,7,9750
1997,01,08,55,2,0,9750
1997,01,08,55,3,0,9750
1997,01,08,55,4,0,9750
1997,01,08,55,5,82,9750
1997,01,08,55,6,0,9750
1997,01,08,55,7,0,9750
1997,01,08,56,1,0,706
1997,01,08,56,2,0,706
1997,01,08,56,3,0,706
1997,01,08,56,4,0,706
1997,01,08,56,5,3,706
1997,01,08,56,6,0,706
1997,01,08,56,7,0,706
1997,01,09,57,1,122,7741
1997,01,09,57,2,44,7741
1997,01,09,57,3,0,7741
1997,01,09,57,4,0,7741
1997,01,09,57,5,15,7741
1997,01,09,57,6,0,7741
1997,01,09,57,7,0,7741
1997,01,09,58,1,0,2273
1997,01,09,58,2,0,2273
1997,01,09,58,3,0,2273
1997,01,09,58,4,0,2273
1997,01,09,58,5,6,2273
1997,01,09,58,6,0,2273
1997,01,09,58,7,0,2273
1997,01,09,59,1,11,10000
1997,01,09,59,2,15,10000
1997,01,09,59,3,0,10000
1997,01,09,59,4,0,10000
1997,01,09,59,5,67,10000
1997,01,09,59,6,0,10000
1997,01,09,59,7,0,10000
1997,01,09,60,1,61,51184
1997,01,09,60,2,306,51184
1997,01,09,60,3,0,51184
1997,01,09,60,4,0,51184
1997,01,09,60,5,187,51184
1997,01,09,60,6,0,51184
1997,01,09,60,7,0,51184
1997,01,09,61,1,29,27719
1997,01,09,61,2,330,27719
1997,01,09,61,3,0,27719
1997,01,09,61,4,22,27719
1997,01,09,61,5,121,27719
1997,01,09,61,6,0,27719
1997,01,09,61,7,0,27719
1997,01,09,62,1,7,13561
1997,01,09,62,2,60,13561
1997,01,09,62,3,0,13561
1997,01,09,62,4,0,13561
1997,01,09,62,5,60,13561
1997,01,09,62,6,0,13561
1997,01,09,62,7,0,13561
1997,01,09,63,1,6,20750
1997,01,09,63,2,193,20750
1997,01,09,63,3,0,20750
1997,01,09,63,4,0,20750
1997,01,09,63,5,99,20750
1997,01,09,63,6,0,20750
1997,01,09,63,7,0,20750
1997,01,10,64,1,52,36109
1997,01,10,64,2,493,36109
1997,01,10,64,3,0,36109
1997,01,10,64,4,11,36109
1997,01,10,64,5,165,36109
1997,01,10,64,6,0,36109
1997,01,10,64,7,0,36109
1997,01,10,65,1,26,22743
1997,01,10,65,2,234,22743
1997,01,10,65,3,0,22743
1997,01,10,65,4,0,22743
1997,01,10,65,5,164,22743
1997,01,10,65,6,0,22743
1997,01,10,65,7,0,22743
1997,01,10,66,1,67,12151
1997,01,10,66,2,217,12151
1997,01,10,66,3,0,12151
1997,01,10,66,4,0,12151
1997,01,10,66,5,61,12151
1997,01,10,66,6,0,12151
1997,01,10,66,7,0,12151
1997,01,10,67,1,33,5904
1997,01,10,67,2,142,5904
1997,01,10,67,3,14,5904
1997,01,10,67,4,27,5904
1997,01,10,67,5,139,5904
1997,01,10,67,6,0,5904
1997,01,10,67,7,5,5904
1997,01,10,68,1,57,23571
1997,01,10,68,2,137,23571
1997,01,10,68,3,0,23571
1997,01,10,68,4,11,23571
1997,01,10,68,5,120,23571
1997,01,10,68,6,0,23571
1997,01,10,68,7,0,23571
1997,01,10,69,1,7,4080
1997,01,10,69,2,0,4080
1997,01,10,69,3,0,4080
1997,01,10,69,4,0,4080
1997,01,10,69,5,17,4080
1997,01,10,69,6,0,4080
