Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Pisos
2019,01,05,24,35
2019,01,05,25,32
2019,01,05,26,244
2019,01,05,27,144
2019,01,06,28,40
2019,01,06,29,20
2019,01,06,30,37
2019,01,06,31,750
2019,01,06,32,224
2019,01,07,33,92
2019,01,07,34,20
2019,01,07,35,75
2019,01,07,36,4
2019,01,07,37,33
2019,01,07,38,9
2019,01,07,39,3
2019,01,07,40,0
2019,01,07,41,1
2019,01,07,42,0
2019,01,07,43,7
2019,01,08,44,9
2019,01,08,45,10
2019,01,08,46,0
2019,01,08,47,0
2019,01,08,48,1
2019,01,08,49,1
2019,01,08,50,2
2019,01,08,51,3
2019,01,08,52,3
2019,01,08,53,0
2019,01,08,54,0
2019,01,08,55,0
2019,01,08,56,0
2019,01,09,57,4
2019,01,09,58,0
2019,01,09,59,1
2019,01,09,60,28
2019,01,09,61,22
2019,01,09,62,6
2019,01,09,63,17
2019,01,10,64,266
2019,01,10,65,50
2019,01,10,66,101
2019,01,10,67,108
2019,01,10,68,389
2019,01,10,69,128
2019,01,10,70,32
2019,01,10,71,34
2019,01,10,72,15
2019,01,10,73,9
2020,01,01,01,191
2020,01,01,02,193
2020,01,01,03,64
2020,01,01,04,159
2020,01,02,05,332
2020,01,02,06,765
2020,01,02,07,1662
2020,01,02,08,709
2020,01,02,09,413
2020,01,02,10,586
2020,01,03,11,515
2020,01,03,12,3
2020,01,03,13,6
2020,01,03,14,73
2020,01,03,15,177
2020,01,03,16,44
2020,01,03,17,106
2020,01,03,18,245
2020,01,04,19,206
2020,01,04,20,44
2020,01,04,21,11
2020,01,05,22,3
2020,01,05,23,27
2020,01,05,24,35
2020,01,05,25,32
2020,01,05,26,244
2020,01,05,27,143
2020,01,06,28,40
2020,01,06,29,20
2020,01,06,30,37
2020,01,06,31,749
2020,01,06,32,223
2020,01,07,33,92
2020,01,07,34,20
2020,01,07,35,70
2020,01,07,36,4
2020,01,07,37,33
2020,01,07,38,9
2020,01,07,39,3
2020,01,07,40,0
2020,01,07,41,1
2020,01,07,42,0
2020,01,07,43,6
2020,01,08,44,9
2020,01,08,45,10
2020,01,08,46,0
2020,01,08,47,0
2020,01,08,48,1
2020,01,08,49,1
2020,01,08,50,2
2020,01,08,51,3
2020,01,08,52,3
2020,01,08,53,0
2020,01,08,54,0
2020,01,08,55,0
2020,01,08,56,0
2020,01,09,57,4
2020,01,09,58,0
2020,01,09,59,1
2020,01,09,60,28
2020,01,09,61,22
2020,01,09,62,6
2020,01,09,63,16
2020,01,10,64,266
2020,01,10,65,50
2020,01,10,66,98
2020,01,10,67,108
2020,01,10,68,390
2020,01,10,69,127
2020,01,10,70,32
2020,01,10,71,34
2020,01,10,72,15
2020,01,10,73,9
2021,01,01,01,189
2021,01,01,02,193
2021,01,01,03,64
2021,01,01,04,159
2021,01,02,05,330
2021,01,02,06,755
2021,01,02,07,1650
2021,01,02,08,688
2021,01,02,09,404
2021,01,02,10,576
2021,01,03,11,498
2021,01,03,12,3
2021,01,03,13,6
2021,01,03,14,73
2021,01,03,15,175
2021,01,03,16,39
2021,01,03,17,103
2021,01,03,18,244
2021,01,04,19,202
2021,01,04,20,44
2021,01,04,21,11
2021,01,05,22,3
2021,01,05,23,26
2021,01,05,24,34
2021,01,05,25,32
2021,01,05,26,242
2021,01,05,27,154
2021,01,06,28,40
2021,01,06,29,20
2021,01,06,30,36
2021,01,06,31,734
2021,01,06,32,221
2021,01,07,33,76
2021,01,07,34,20
2021,01,07,35,70
2021,01,07,36,4
2021,01,07,37,31
2021,01,07,38,7
2021,01,07,39,3
2021,01,07,40,0
2021,01,07,41,1
2021,01,07,42,0
2021,01,07,43,6
2021,01,08,44,9
2021,01,08,45,10
2021,01,08,46,0
2021,01,08,47,0
2021,01,08,48,1
2021,01,08,49,1
2021,01,08,50,2
2021,01,08,51,3
2021,01,08,52,3
2021,01,08,53,0
2021,01,08,54,0
2021,01,08,55,0
2021,01,08,56,0
2021,01,09,57,4
2021,01,09,58,0
2021,01,09,59,1
2021,01,09,60,27
2021,01,09,61,22
2021,01,09,62,6
2021,01,09,63,16
2021,01,10,64,266
2021,01,10,65,48
2021,01,10,66,98
2021,01,10,67,107
2021,01,10,68,388
2021,01,10,69,126
2021,01,10,70,32
2021,01,10,71,32
2021,01,10,72,14
2021,01,10,73,9
2022,01,01,01,199
2022,01,01,02,194
2022,01,01,03,64
2022,01,01,04,159
2022,01,02,05,328
2022,01,02,06,750
2022,01,02,07,1631
2022,01,02,08,670
2022,01,02,09,520
2022,01,02,10,554
2022,01,03,11,487
2022,01,03,12,3
2022,01,03,13,6
2022,01,03,14,73
2022,01,03,15,174
2022,01,03,16,30
2022,01,03,17,97
2022,01,03,18,243
2022,01,04,19,201
2022,01,04,20,44
2022,01,04,21,11
2022,01,05,22,3
2022,01,05,23,26
2022,01,05,24,33
2022,01,05,25,36
2022,01,05,26,239
2022,01,05,27,154
2022,01,06,28,39
2022,01,06,29,20
2022,01,06,30,36
2022,01,06,31,725
2022,01,06,32,220
2022,01,07,33,73
2022,01,07,34,20
2022,01,07,35,70
2022,01,07,36,4
2022,01,07,37,32
2022,01,07,38,6
2022,01,07,39,3
2022,01,07,40,0
2022,01,07,41,1
2022,01,07,42,0
2022,01,07,43,6
2022,01,08,44,9
2022,01,08,45,10
2022,01,08,46,0
2022,01,08,47,0
2022,01,08,48,1
2022,01,08,49,1
2022,01,08,50,2
2022,01,08,51,3
2022,01,08,52,3
2022,01,08,53,0
2022,01,08,54,0
2022,01,08,55,0
2022,01,08,56,0
2022,01,09,57,4
2022,01,09,58,0
2022,01,09,59,1
2022,01,09,60,27
2022,01,09,61,22
2022,01,09,62,6
2022,01,09,63,16
2022,01,10,64,267
2022,01,10,65,46
2022,01,10,66,98
2022,01,10,67,105
2022,01,10,68,386
2022,01,10,69,125
2022,01,10,70,32
2022,01,10,71,31
2022,01,10,72,14
2022,01,10,73,9
2023,01,01,01,199
2023,01,01,02,194
2023,01,01,03,64
2023,01,01,04,159
2023,01,02,05,328
2023,01,02,06,750
2023,01,02,07,1631
2023,01,02,08,670
2023,01,02,09,520
2023,01,02,10,554
2023,01,03,11,487
2023,01,03,12,3
2023,01,03,13,6
2023,01,03,14,73
2023,01,03,15,174
2023,01,03,16,30
2023,01,03,17,97
2023,01,03,18,243
2023,01,04,19,201
2023,01,04,20,44
2023,01,04,21,11
2023,01,05,22,3
2023,01,05,23,26
2023,01,05,24,33
2023,01,05,25,36
2023,01,05,26,239
2023,01,05,27,154
2023,01,06,28,39
2023,01,06,29,20
2023,01,06,30,36
2023,01,06,31,725
2023,01,06,32,220
2023,01,07,33,73
2023,01,07,34,20
2023,01,07,35,70
2023,01,07,36,4
2023,01,07,37,32
2023,01,07,38,6
2023,01,07,39,3
2023,01,07,40,0
2023,01,07,41,1
2023,01,07,42,0
2023,01,07,43,6
2023,01,08,44,9
2023,01,08,45,10
2023,01,08,46,0
2023,01,08,47,0
2023,01,08,48,1
2023,01,08,49,1
2023,01,08,50,2
2023,01,08,51,3
2023,01,08,52,3
2023,01,08,53,0
2023,01,08,54,0
2023,01,08,55,0
2023,01,08,56,0
2023,01,09,57,4
2023,01,09,58,0
2023,01,09,59,1
2023,01,09,60,27
2023,01,09,61,22
2023,01,09,62,6
2023,01,09,63,16
2023,01,10,64,267
2023,01,10,65,46
2023,01,10,66,98
2023,01,10,67,105
2023,01,10,68,386
2023,01,10,69,125
2023,01,10,70,32
2023,01,10,71,31
2023,01,10,72,14
2023,01,10,73,9
