Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1997,01,07,38,8,967
1997,01,07,39,1,450
1997,01,07,39,2,735
1997,01,07,39,3,1236
1997,01,07,39,4,971
1997,01,07,39,5,785
1997,01,07,39,6,980
1997,01,07,39,7,1277
1997,01,07,39,8,614
1997,01,07,40,1,186
1997,01,07,40,2,206
1997,01,07,40,3,740
1997,01,07,40,4,740
1997,01,07,40,5,294
1997,01,07,40,6,638
1997,01,07,40,7,1162
1997,01,07,40,8,1154
1997,01,07,41,1,493
1997,01,07,41,2,564
1997,01,07,41,3,952
1997,01,07,41,4,990
1997,01,07,41,5,728
1997,01,07,41,6,758
1997,01,07,41,7,523
1997,01,07,41,8,300
1997,01,07,42,1,15
1997,01,07,42,2,16
1997,01,07,42,3,61
1997,01,07,42,4,50
1997,01,07,42,5,21
1997,01,07,42,6,36
1997,01,07,42,7,65
1997,01,07,42,8,42
1997,01,07,43,1,1734
1997,01,07,43,2,2817
1997,01,07,43,3,4471
1997,01,07,43,4,3540
1997,01,07,43,5,3269
1997,01,07,43,6,3551
1997,01,07,43,7,3535
1997,01,07,43,8,2987
1997,01,08,44,1,1621
1997,01,08,44,2,2582
1997,01,08,44,3,3766
1997,01,08,44,4,3550
1997,01,08,44,5,3187
1997,01,08,44,6,3158
1997,01,08,44,7,3437
1997,01,08,44,8,3014
1997,01,08,45,1,1521
1997,01,08,45,2,2359
1997,01,08,45,3,4266
1997,01,08,45,4,3285
1997,01,08,45,5,2696
1997,01,08,45,6,3374
1997,01,08,45,7,3731
1997,01,08,45,8,2436
1997,01,08,46,1,835
1997,01,08,46,2,1035
1997,01,08,46,3,2088
1997,01,08,46,4,2151
1997,01,08,46,5,1093
1997,01,08,46,6,1356
1997,01,08,46,7,3329
1997,01,08,46,8,2613
1997,01,08,47,1,178
1997,01,08,47,2,260
1997,01,08,47,3,380
1997,01,08,47,4,328
1997,01,08,47,5,217
1997,01,08,47,6,216
1997,01,08,47,7,347
1997,01,08,47,8,292
1997,01,08,48,1,1010
1997,01,08,48,2,1842
1997,01,08,48,3,3053
1997,01,08,48,4,2184
1997,01,08,48,5,2077
1997,01,08,48,6,2394
1997,01,08,48,7,2574
1997,01,08,48,8,1746
1997,01,08,49,1,655
1997,01,08,49,2,1452
1997,01,08,49,3,1553
1997,01,08,49,4,1087
1997,01,08,49,5,1476
1997,01,08,49,6,1030
1997,01,08,49,7,853
1997,01,08,49,8,526
1997,01,08,50,1,1291
1997,01,08,50,2,2017
1997,01,08,50,3,2910
1997,01,08,50,4,2147
1997,01,08,50,5,1973
1997,01,08,50,6,1954
1997,01,08,50,7,1812
1997,01,08,50,8,1293
1997,01,08,51,1,860
1997,01,08,51,2,1356
1997,01,08,51,3,2270
1997,01,08,51,4,1746
1997,01,08,51,5,1356
1997,01,08,51,6,1733
1997,01,08,51,7,1835
1997,01,08,51,8,1574
1997,01,08,52,1,1819
1997,01,08,52,2,3143
1997,01,08,52,3,5113
1997,01,08,52,4,3742
1997,01,08,52,5,3332
1997,01,08,52,6,4187
1997,01,08,52,7,3660
1997,01,08,52,8,2367
1997,01,08,53,1,447
1997,01,08,53,2,733
1997,01,08,53,3,1039
1997,01,08,53,4,1042
1997,01,08,53,5,779
1997,01,08,53,6,601
1997,01,08,53,7,1256
1997,01,08,53,8,1590
1997,01,08,54,1,292
1997,01,08,54,2,392
1997,01,08,54,3,452
1997,01,08,54,4,342
1997,01,08,54,5,249
1997,01,08,54,6,224
1997,01,08,54,7,229
1997,01,08,54,8,145
1997,01,08,55,1,782
1997,01,08,55,2,1169
1997,01,08,55,3,2125
1997,01,08,55,4,1335
1997,01,08,55,5,1153
1997,01,08,55,6,1438
1997,01,08,55,7,1093
1997,01,08,55,8,587
1997,01,08,56,1,75
1997,01,08,56,2,123
1997,01,08,56,3,136
1997,01,08,56,4,93
1997,01,08,56,5,58
1997,01,08,56,6,77
1997,01,08,56,7,75
1997,01,08,56,8,36
1997,01,09,57,1,639
1997,01,09,57,2,1011
1997,01,09,57,3,1454
1997,01,09,57,4,1080
1997,01,09,57,5,985
1997,01,09,57,6,980
1997,01,09,57,7,878
1997,01,09,57,8,639
1997,01,09,58,1,252
1997,01,09,58,2,294
1997,01,09,58,3,397
1997,01,09,58,4,324
1997,01,09,58,5,239
