Codi_Ciutat,Data_Referencia,Variable,Valor,Codi_Districte,Codi_Barri
NA,2023,Preu_Lloguer,1274.9622589332625,02,NA
NA,2023,Preu_Lloguer,1032.2043086574643,03,NA
NA,2023,Preu_Lloguer,1294.1995451788964,04,NA
NA,2023,Preu_Lloguer,1550.7881635285014,05,NA
NA,2023,Preu_Lloguer,1117.9604766913012,06,NA
NA,2023,Preu_Lloguer,915.8997254423433,07,NA
NA,2023,Preu_Lloguer,796.807494772062,08,NA
NA,2023,Preu_Lloguer,910.3581414350892,09,NA
NA,2023,Preu_Lloguer,1101.7520097244724,10,NA
NA,2013,Preu_Lloguer,571.8241,NA,01
NA,2013,Preu_Lloguer,715.559,NA,02
NA,2013,Preu_Lloguer,559.5539,NA,03
NA,2013,Preu_Lloguer,659.1596,NA,04
NA,2013,Preu_Lloguer,718.312,NA,05
NA,2013,Preu_Lloguer,664.2997,NA,06
NA,2013,Preu_Lloguer,913.8097,NA,07
NA,2013,Preu_Lloguer,817.9463,NA,08
NA,2013,Preu_Lloguer,730.0981,NA,09
NA,2013,Preu_Lloguer,710.3541,NA,10
NA,2013,Preu_Lloguer,581.3248,NA,11
NA,2013,Preu_Lloguer,404.7119,NA,12
NA,2013,Preu_Lloguer,560.9975,NA,13
NA,2013,Preu_Lloguer,662.8855,NA,14
NA,2013,Preu_Lloguer,579.7948,NA,15
NA,2013,Preu_Lloguer,618.5649,NA,16
NA,2013,Preu_Lloguer,599.0447,NA,17
NA,2013,Preu_Lloguer,617.907,NA,18
NA,2013,Preu_Lloguer,787.8887,NA,19
NA,2013,Preu_Lloguer,718.0376,NA,20
NA,2013,Preu_Lloguer,1362.896,NA,21
NA,2013,Preu_Lloguer,925.6,NA,22
NA,2013,Preu_Lloguer,974.8907,NA,23
NA,2013,Preu_Lloguer,1260.268,NA,24
NA,2013,Preu_Lloguer,915.4488,NA,25
NA,2013,Preu_Lloguer,1009.898,NA,26
NA,2013,Preu_Lloguer,729.8574,NA,27
NA,2013,Preu_Lloguer,660.7513,NA,28
NA,2013,Preu_Lloguer,557.1014,NA,29
NA,2013,Preu_Lloguer,578.2491,NA,30
NA,2013,Preu_Lloguer,673.3238,NA,31
NA,2013,Preu_Lloguer,667.467,NA,32
NA,2013,Preu_Lloguer,614.7963,NA,33
NA,2013,Preu_Lloguer,538.085,NA,34
NA,2013,Preu_Lloguer,582.919,NA,35
NA,2013,Preu_Lloguer,680.1056,NA,36
NA,2013,Preu_Lloguer,492.6682,NA,37
NA,2013,Preu_Lloguer,503.7387,NA,38
NA,2013,Preu_Lloguer,543.4619,NA,39
NA,2013,Preu_Lloguer,575.8688,NA,40
NA,2013,Preu_Lloguer,704.384,NA,41
NA,2013,Preu_Lloguer,480,NA,42
NA,2013,Preu_Lloguer,584.1288,NA,43
NA,2013,Preu_Lloguer,577.0111,NA,44
NA,2013,Preu_Lloguer,548.9249,NA,45
NA,2013,Preu_Lloguer,480.8085,NA,46
NA,2013,Preu_Lloguer,324.8188,NA,47
NA,2013,Preu_Lloguer,620.3478,NA,48
NA,2013,Preu_Lloguer,587.2574,NA,49
NA,2013,Preu_Lloguer,451.247,NA,50
NA,2013,Preu_Lloguer,507.6199,NA,51
NA,2013,Preu_Lloguer,518.7834,NA,52
NA,2013,Preu_Lloguer,437.5041,NA,53
NA,2013,Preu_Lloguer,396.0429,NA,54
NA,2013,Preu_Lloguer,403.4893,NA,55
NA,2013,Preu_Lloguer,281.70875,NA,56
NA,2013,Preu_Lloguer,457.7763,NA,57
NA,2013,Preu_Lloguer,244.0253,NA,58
NA,2013,Preu_Lloguer,505.959,NA,59
NA,2013,Preu_Lloguer,576.7066,NA,60
NA,2013,Preu_Lloguer,643.4456,NA,61
NA,2013,Preu_Lloguer,584.9377,NA,62
NA,2013,Preu_Lloguer,630.4668,NA,63
NA,2013,Preu_Lloguer,609.3648,NA,64
NA,2013,Preu_Lloguer,624.2076,NA,65
NA,2013,Preu_Lloguer,687.8676,NA,66
NA,2013,Preu_Lloguer,926.7103,NA,67
NA,2013,Preu_Lloguer,670.4424,NA,68
NA,2013,Preu_Lloguer,914.0982,NA,69
NA,2013,Preu_Lloguer,510.7991,NA,70
NA,2013,Preu_Lloguer,594.3216,NA,71
NA,2013,Preu_Lloguer,638.087,NA,72
NA,2013,Preu_Lloguer,576.1651,NA,73
NA,2014,Preu_Lloguer,577.852836386608,NA,01
NA,2014,Preu_Lloguer,749.990873015873,NA,02
NA,2014,Preu_Lloguer,563.082173144876,NA,03
NA,2014,Preu_Lloguer,685.142800407332,NA,04
NA,2014,Preu_Lloguer,723.328648351649,NA,05
NA,2014,Preu_Lloguer,680.680602327173,NA,06
NA,2014,Preu_Lloguer,945.882363636363,NA,07
NA,2014,Preu_Lloguer,843.857032218092,NA,08
NA,2014,Preu_Lloguer,732.134325529543,NA,09
NA,2014,Preu_Lloguer,711.369570815451,NA,10
NA,2014,Preu_Lloguer,582.600369702434,NA,11
NA,2014,Preu_Lloguer,404.7119,NA,12
NA,2014,Preu_Lloguer,527.279183673469,NA,13
NA,2014,Preu_Lloguer,644.641064638783,NA,14
NA,2014,Preu_Lloguer,593.906441717791,NA,15
NA,2014,Preu_Lloguer,611.369112903226,NA,16
NA,2014,Preu_Lloguer,597.282282282282,NA,17
NA,2014,Preu_Lloguer,624.117634146342,NA,18
NA,2014,Preu_Lloguer,782.884777887463,NA,19
NA,2014,Preu_Lloguer,760.257964071856,NA,20
NA,2014,Preu_Lloguer,1473.83386934673,NA,21
NA,2014,Preu_Lloguer,1134.25113636364,NA,22
NA,2014,Preu_Lloguer,1041.15207364341,NA,23
NA,2014,Preu_Lloguer,1323.88802588997,NA,24
NA,2014,Preu_Lloguer,942.559185520362,NA,25
NA,2014,Preu_Lloguer,1047.42055223881,NA,26
NA,2014,Preu_Lloguer,760.345245202559,NA,27
NA,2014,Preu_Lloguer,665.480329949239,NA,28
NA,2014,Preu_Lloguer,555.869137931035,NA,29
NA,2014,Preu_Lloguer,668.505691318328,NA,30
NA,2014,Preu_Lloguer,681.712329136691,NA,31
NA,2014,Preu_Lloguer,683.324930629669,NA,32
NA,2014,Preu_Lloguer,620.974409317804,NA,33
NA,2014,Preu_Lloguer,542.719718309859,NA,34
NA,2014,Preu_Lloguer,581.393736383442,NA,35
NA,2014,Preu_Lloguer,712.414408602151,NA,36
NA,2014,Preu_Lloguer,494.997425431711,NA,37
NA,2014,Preu_Lloguer,486.438595041322,NA,38
NA,2014,Preu_Lloguer,553.888235294118,NA,39
NA,2014,Preu_Lloguer,552.54,NA,40
NA,2014,Preu_Lloguer,699.387755102041,NA,41
NA,2014,Preu_Lloguer,480,NA,42
NA,2014,Preu_Lloguer,567.243333333333,NA,43
NA,2014,Preu_Lloguer,568.233004484305,NA,44
NA,2014,Preu_Lloguer,529.546084452975,NA,45
NA,2014,Preu_Lloguer,473.157293729373,NA,46
NA,2014,Preu_Lloguer,221.134545454545,NA,47
NA,2014,Preu_Lloguer,614.563839662447,NA,48
NA,2014,Preu_Lloguer,536.410256410256,NA,49
NA,2014,Preu_Lloguer,450.759080882353,NA,50
NA,2014,Preu_Lloguer,487.877155172414,NA,51
NA,2014,Preu_Lloguer,504.856374745418,NA,52
NA,2014,Preu_Lloguer,434.422822580645,NA,53
NA,2014,Preu_Lloguer,334.4575,NA,54
NA,2014,Preu_Lloguer,372.846369863014,NA,55
NA,2014,Preu_Lloguer,281.70875,NA,56
NA,2014,Preu_Lloguer,422.90843373494,NA,57
NA,2014,Preu_Lloguer,241.146071428571,NA,58
NA,2014,Preu_Lloguer,496.581635220126,NA,59
NA,2014,Preu_Lloguer,576.596156069364,NA,60
NA,2014,Preu_Lloguer,607.036618122977,NA,61
NA,2014,Preu_Lloguer,583.67161971831,NA,62
NA,2014,Preu_Lloguer,623.783793103448,NA,63
NA,2014,Preu_Lloguer,598.818432483475,NA,64
NA,2014,Preu_Lloguer,624.844406196214,NA,65
NA,2014,Preu_Lloguer,693.717672131148,NA,66
NA,2014,Preu_Lloguer,1003.23790849673,NA,67
NA,2014,Preu_Lloguer,654.347887323944,NA,68
NA,2014,Preu_Lloguer,892.033406593406,NA,69
NA,2014,Preu_Lloguer,477.059798270893,NA,70
NA,2014,Preu_Lloguer,639.552655737705,NA,71
NA,2014,Preu_Lloguer,633.775110497238,NA,72
NA,2014,Preu_Lloguer,565.467476340694,NA,73
NA,2015,Preu_Lloguer,625.8214,NA,01
NA,2015,Preu_Lloguer,786.0439,NA,02
NA,2015,Preu_Lloguer,602.619,NA,03
NA,2015,Preu_Lloguer,723.4489,NA,04
NA,2015,Preu_Lloguer,768.1235,NA,05
NA,2015,Preu_Lloguer,713.1482,NA,06
NA,2015,Preu_Lloguer,1012.5102,NA,07
NA,2015,Preu_Lloguer,911.1438,NA,08
NA,2015,Preu_Lloguer,783.8356,NA,09
NA,2015,Preu_Lloguer,765.609,NA,10
NA,2015,Preu_Lloguer,612.1455,NA,11
NA,2015,Preu_Lloguer,404.7119,NA,12
NA,2015,Preu_Lloguer,542.2658,NA,13
NA,2015,Preu_Lloguer,695.1985,NA,14
NA,2015,Preu_Lloguer,624.6484,NA,15
NA,2015,Preu_Lloguer,638.4582,NA,16
NA,2015,Preu_Lloguer,626.5668,NA,17
NA,2015,Preu_Lloguer,653.3033,NA,18
NA,2015,Preu_Lloguer,856.3435,NA,19
NA,2015,Preu_Lloguer,756.616,NA,20
NA,2015,Preu_Lloguer,1729.9507,NA,21
NA,2015,Preu_Lloguer,1006.5333,NA,22
NA,2015,Preu_Lloguer,1109.6624,NA,23
NA,2015,Preu_Lloguer,1385.0352,NA,24
NA,2015,Preu_Lloguer,1046.4413,NA,25
NA,2015,Preu_Lloguer,1156.2648,NA,26
NA,2015,Preu_Lloguer,799.6912,NA,27
NA,2015,Preu_Lloguer,735.7593,NA,28
NA,2015,Preu_Lloguer,557.0031,NA,29
NA,2015,Preu_Lloguer,705.2071,NA,30
NA,2015,Preu_Lloguer,733.1205,NA,31
NA,2015,Preu_Lloguer,725.4017,NA,32
NA,2015,Preu_Lloguer,642.6368,NA,33
NA,2015,Preu_Lloguer,553.9651,NA,34
NA,2015,Preu_Lloguer,612.8952,NA,35
NA,2015,Preu_Lloguer,723.5364,NA,36
NA,2015,Preu_Lloguer,510.9756,NA,37
NA,2015,Preu_Lloguer,519.6792,NA,38
NA,2015,Preu_Lloguer,551.1986,NA,39
NA,2015,Preu_Lloguer,630.3692,NA,40
NA,2015,Preu_Lloguer,696.2903,NA,41
NA,2015,Preu_Lloguer,350.2508,NA,42
NA,2015,Preu_Lloguer,579.8995,NA,43
NA,2015,Preu_Lloguer,586.6255,NA,44
NA,2015,Preu_Lloguer,555.0417,NA,45
NA,2015,Preu_Lloguer,504.3443,NA,46
NA,2015,Preu_Lloguer,211.3545,NA,47
NA,2015,Preu_Lloguer,562.8057,NA,48
NA,2015,Preu_Lloguer,563.9629,NA,49
NA,2015,Preu_Lloguer,463.7288,NA,50
NA,2015,Preu_Lloguer,470.3987,NA,51
NA,2015,Preu_Lloguer,530.2575,NA,52
NA,2015,Preu_Lloguer,448.318,NA,53
NA,2015,Preu_Lloguer,404.92380000000003,NA,54
NA,2015,Preu_Lloguer,396.4313,NA,55
NA,2015,Preu_Lloguer,415.0842,NA,56
NA,2015,Preu_Lloguer,441.4759,NA,57
NA,2015,Preu_Lloguer,287.3904,NA,58
NA,2015,Preu_Lloguer,537.285,NA,59
NA,2015,Preu_Lloguer,613.3408,NA,60
NA,2015,Preu_Lloguer,636.6046,NA,61
NA,2015,Preu_Lloguer,610.9423,NA,62
NA,2015,Preu_Lloguer,672.0169,NA,63
NA,2015,Preu_Lloguer,644.0061,NA,64
NA,2015,Preu_Lloguer,651.5979,NA,65
NA,2015,Preu_Lloguer,748.8468,NA,66
NA,2015,Preu_Lloguer,1104.4784,NA,67
NA,2015,Preu_Lloguer,735.0407,NA,68
NA,2015,Preu_Lloguer,1059.7525,NA,69
NA,2015,Preu_Lloguer,506.7127,NA,70
NA,2015,Preu_Lloguer,661.3788,NA,71
NA,2015,Preu_Lloguer,673.9204,NA,72
NA,2015,Preu_Lloguer,610.7191,NA,73
NA,2016,Preu_Lloguer,667.0037911136756,NA,01
NA,2016,Preu_Lloguer,868.9481910828026,NA,02
NA,2016,Preu_Lloguer,667.3402661596958,NA,03
NA,2016,Preu_Lloguer,807.2592013593882,NA,04
NA,2016,Preu_Lloguer,823.4505402298848,NA,05
NA,2016,Preu_Lloguer,775.9909360269362,NA,06
NA,2016,Preu_Lloguer,1138.075176908752,NA,07
NA,2016,Preu_Lloguer,979.2042030769228,NA,08
NA,2016,Preu_Lloguer,870.4811947904872,NA,09
NA,2016,Preu_Lloguer,842.4730000000003,NA,10
NA,2016,Preu_Lloguer,669.5252086956522,NA,11
NA,2016,Preu_Lloguer,356.56300000000005,NA,12
NA,2016,Preu_Lloguer,544.3789210526317,NA,13
NA,2016,Preu_Lloguer,737.152927756654,NA,14
